id,name,supertype,set_name,number,hp,subtypes,types,rarity,image_url,p_hash
sm1-1,Caterpie,Pokémon,Sun & Moon,1,50,Basic,Grass,Common,https://images.pokemontcg.io/sm1/1_hires.png,ba7ab191e46c4ccc
sm12-2,Oddish,Pokémon,Cosmic Eclipse,2,60,Basic,Grass,Common,https://images.pokemontcg.io/sm12/2_hires.png,e2723c89d8d2b49d
xy5-3,Beedrill,Pokémon,Primal Clash,3,120,Stage 2,Grass,Rare,https://images.pokemontcg.io/xy5/3_hires.png,ef44c1391f939398
dv1-2,Dratini,Pokémon,Dragon Vault,2,40,Basic,Dragon,Rare Holo,https://images.pokemontcg.io/dv1/2_hires.png,ebc1f174b4368543
ex13-1,Armaldo δ,Pokémon,Holon Phantoms,1,110,Stage 2,"Fighting,Metal",Rare Holo,https://images.pokemontcg.io/ex13/1_hires.png,fa6ac88199ee2785
bw1-2,Snivy,Pokémon,Black & White,2,60,Basic,Grass,Common,https://images.pokemontcg.io/bw1/2_hires.png,aed4931a3c6cc4ce
ex9-2,Deoxys,Pokémon,Emerald,2,70,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/ex9/2_hires.png,9a3f6f85c29091b5
base4-3,Chansey,Pokémon,Base Set 2,3,120,Basic,Colorless,Rare Holo,https://images.pokemontcg.io/base4/3_hires.png,9e5ea5a1658786c6
ru1-3,Ninetales,Pokémon,Pokémon Rumble,3,90,Stage 1,Fire,,https://images.pokemontcg.io/ru1/3_hires.png,ce4ff0b0119393cb
ecard2-H3,Ariados,Pokémon,Aquapolis,H3,70,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/ecard2/H3_hires.png,fe5e8180e9f1818f
pop6-3,Manaphy,Pokémon,POP Series 6,3,70,Basic,Water,Rare,https://images.pokemontcg.io/pop6/3_hires.png,b2b5cecb48e4780e
si1-2,Pidgeot,Pokémon,Southern Islands,2,70,Stage 2,Colorless,,https://images.pokemontcg.io/si1/2_hires.png,9f581ba16ca6b427
hgss1-3,Clefable,Pokémon,HeartGold & SoulSilver,3,80,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/hgss1/3_hires.png,9f1fe0f0268595a5
ex11-3,Dragonite δ,Pokémon,Delta Species,3,100,Stage 2,"Lightning,Metal",Rare Holo,https://images.pokemontcg.io/ex11/3_hires.png,9a4af3a5a5d8c3c4
xy7-2,Gloom,Pokémon,Ancient Origins,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/xy7/2_hires.png,ee5e8490c3f391a5
base3-3,Ditto,Pokémon,Fossil,3,50,Basic,Colorless,Rare Holo,https://images.pokemontcg.io/base3/3_hires.png,af6fc5a1b4929381
hgss4-3,Celebi,Pokémon,HS—Triumphant,3,70,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/hgss4/3_hires.png,be1ec6c065b1b594
pl3-3,Drifblim FB,Pokémon,Supreme Victors,3,80,"Basic,SP",Psychic,Rare Holo,https://images.pokemontcg.io/pl3/3_hires.png,8e66c7d3d839091b
bw10-2,Masquerain,Pokémon,Plasma Blast,2,80,"Stage 1,Team Plasma",Grass,Rare,https://images.pokemontcg.io/bw10/2_hires.png,d47a17e949c51b0d
ex13-2,Cradily δ,Pokémon,Holon Phantoms,2,100,Stage 2,"Darkness,Metal",Rare Holo,https://images.pokemontcg.io/ex13/2_hires.png,d17e6581b48e7ac1
ex7-3,Dark Crobat,Pokémon,Team Rocket Returns,3,90,Stage 2,"Grass,Darkness",Rare Holo,https://images.pokemontcg.io/ex7/3_hires.png,fa1f81d391daccc0
swsh35-2,Weedle,Pokémon,Champion's Path,2,60,Basic,Grass,Common,https://images.pokemontcg.io/swsh35/2_hires.png,eb7b9094c6468e95
ex12-3,Cradily,Pokémon,Legend Maker,3,100,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/ex12/3_hires.png,9b5bccc4c4f1d3c0
xy2-3,Butterfree,Pokémon,Flashfire,3,130,Stage 2,Grass,Rare,https://images.pokemontcg.io/xy2/3_hires.png,bf90c84849b3f36a
dv1-3,Dragonair,Pokémon,Dragon Vault,3,70,Stage 1,Dragon,Rare Holo,https://images.pokemontcg.io/dv1/3_hires.png,eac0b11f9c1ccd4b
det1-3,Morelull,Pokémon,Detective Pikachu,3,50,Basic,Grass,Common,https://images.pokemontcg.io/det1/3_hires.png,8f5ef4b0b4a783c0
xy11-2,Tangrowth,Pokémon,Steam Siege,2,130,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/xy11/2_hires.png,ba7a859185e1d1cd
gym2-2,Blaine's Charizard,Pokémon,Gym Challenge,2,100,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/gym2/2_hires.png,eb6bc09098aecdc5
sm9-3,Weedle,Pokémon,Team Up,3,50,Basic,Grass,Common,https://images.pokemontcg.io/sm9/3_hires.png,be36c0c8393b33c3
pop7-2,Gallade,Pokémon,POP Series 7,2,130,Stage 2,Fighting,Rare,https://images.pokemontcg.io/pop7/2_hires.png,fa6ad0908e1e1de5
sm1-2,Metapod,Pokémon,Sun & Moon,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/sm1/2_hires.png,ba7ad481c5c7e1c1
ex3-3,Crawdaunt,Pokémon,Dragon,3,80,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/ex3/3_hires.png,af2dc4d0ca5a7296
col1-2,Deoxys,Pokémon,Call of Legends,2,80,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/col1/2_hires.png,fa6ac695a5b09a86
mcd19-3,Magmar,Pokémon,McDonald's Collection 2019,3,80,Basic,Fire,,https://images.pokemontcg.io/mcd19/3_hires.png,ae16b038cccec7c9
sm115-2,Metapod,Pokémon,Hidden Fates,2,90,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/sm115/2_hires.png,ea48b4b33666ccc9
sm2-1,Bellsprout,Pokémon,Guardians Rising,1,60,Basic,Grass,Common,https://images.pokemontcg.io/sm2/1_hires.png,ee6ab49191c2c5cd
pl1-3,Blaziken,Pokémon,Platinum,3,130,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/pl1/3_hires.png,9f4fc0d0c8de4c65
gym1-3,Erika's Clefable,Pokémon,Gym Heroes,3,70,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/gym1/3_hires.png,fa7ee0a161da8583
xy4-1,Venonat,Pokémon,Phantom Forces,1,60,Basic,Grass,Common,https://images.pokemontcg.io/xy4/1_hires.png,bb3a8594c5e3d1c8
base5-1,Dark Alakazam,Pokémon,Team Rocket,1,60,Stage 2,Psychic,Rare Holo,https://images.pokemontcg.io/base5/1_hires.png,fe5ac1a026b6958d
bw11-1,Tangela,Pokémon,Legendary Treasures,1,70,Basic,Grass,Common,https://images.pokemontcg.io/bw11/1_hires.png,fa70859b8f3a982c
dp3-3,Charizard,Pokémon,Secret Wonders,3,130,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/dp3/3_hires.png,da5ad094c6cfc1d1
ex4-1,Team Aqua's Cacturne,Pokémon,Team Magma vs Team Aqua,1,80,Stage 1,"Grass,Darkness",Rare Holo,https://images.pokemontcg.io/ex4/1_hires.png,9b7f64a1d093ccc4
bw4-1,Pinsir,Pokémon,Next Destinies,1,80,Basic,Grass,Rare,https://images.pokemontcg.io/bw4/1_hires.png,ea6a84959d3bf0e0
bw9-1,Weedle,Pokémon,Plasma Freeze,1,50,Basic,Grass,Common,https://images.pokemontcg.io/bw9/1_hires.png,be3ccbcac3c1942c
dp4-1,Blaziken,Pokémon,Great Encounters,1,130,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/dp4/1_hires.png,9e4ec4d24b3bb194
base1-1,Alakazam,Pokémon,Base,1,80,Stage 2,Psychic,Rare Holo,https://images.pokemontcg.io/base1/1_hires.png,aa6ec0f1c393998d
bw7-1,Oddish,Pokémon,Boundaries Crossed,1,50,Basic,Grass,Common,https://images.pokemontcg.io/bw7/1_hires.png,ba3f85d1c072d48d
bw5-1,Bulbasaur,Pokémon,Dark Explorers,1,60,Basic,Grass,Common,https://images.pokemontcg.io/bw5/1_hires.png,fa7a859581f0952d
pop3-1,Blastoise,Pokémon,POP Series 3,1,120,Stage 2,Water,Rare,https://images.pokemontcg.io/pop3/1_hires.png,9727cad04ade4ac9
sm5-1,Exeggcute,Pokémon,Ultra Prism,1,50,Basic,Grass,Common,https://images.pokemontcg.io/sm5/1_hires.png,8b1ab4a4e5e7c6d0
pop5-1,Ho-Oh,Pokémon,POP Series 5,1,80,Basic,Fire,Rare,https://images.pokemontcg.io/pop5/1_hires.png,b63e5acbcae07070
ex8-1,Altaria,Pokémon,Deoxys,1,70,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/ex8/1_hires.png,9a4bc0f0218dcfcf
sm8-1,Tangela,Pokémon,Lost Thunder,1,80,Basic,Grass,Common,https://images.pokemontcg.io/sm8/1_hires.png,bf3298c8c66666d8
xy10-1,Shuckle,Pokémon,Fates Collide,1,80,Basic,Grass,Uncommon,https://images.pokemontcg.io/xy10/1_hires.png,be16879a6878f0c9
hgss2-1,Jirachi,Pokémon,HS—Unleashed,1,60,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/hgss2/1_hires.png,be2ec0f0ac94d3c3
swsh1-1,Celebi V,Pokémon,Sword & Shield,1,180,"Basic,V",Grass,Rare Holo V,https://images.pokemontcg.io/swsh1/1_hires.png,c4d8491572736f59
bw8-1,Turtwig,Pokémon,Plasma Storm,1,70,Basic,Grass,Common,https://images.pokemontcg.io/bw8/1_hires.png,eb6890902d2b9f9e
dpp-DP01,Turtwig,Pokémon,DP Black Star Promos,DP01,60,Basic,Grass,Promo,https://images.pokemontcg.io/dpp/DP01_hires.png,da5bc1b066aed981
swsh4-1,Weedle,Pokémon,Vivid Voltage,1,40,Basic,Grass,Common,https://images.pokemontcg.io/swsh4/1_hires.png,fa5a94a5e06e0e8d
basep-1,Pikachu,Pokémon,Wizards Black Star Promos,1,60,Basic,Lightning,Promo,https://images.pokemontcg.io/basep/1_hires.png,ee6e919131e3c583
xy1-1,Venusaur-EX,Pokémon,XY,1,180,"Basic,EX",Grass,Rare Holo EX,https://images.pokemontcg.io/xy1/1_hires.png,f07b9595736a3824
pop9-1,Garchomp,Pokémon,POP Series 9,1,130,Stage 2,Colorless,Rare,https://images.pokemontcg.io/pop9/1_hires.png,fa6bc0d2c6a59591
pop1-1,Blaziken,Pokémon,POP Series 1,1,110,Stage 2,Fire,Rare,https://images.pokemontcg.io/pop1/1_hires.png,c645bd994aca4acb
base6-1,Alakazam,Pokémon,Legendary Collection,1,80,Stage 2,Psychic,Rare Holo,https://images.pokemontcg.io/base6/1_hires.png,ea5ac0b1a3939d8d
pop4-1,Chimecho δ,Pokémon,POP Series 4,1,60,Basic,Metal,Rare,https://images.pokemontcg.io/pop4/1_hires.png,9a7a3101cfce9e94
neo4-1,Dark Ampharos,Pokémon,Neo Destiny,1,70,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/neo4/1_hires.png,af4f90b434c7c1c3
sm115-3,Butterfree,Pokémon,Hidden Fates,3,130,Stage 2,Grass,Rare,https://images.pokemontcg.io/sm115/3_hires.png,ef4ec4b0b8391393
base3-4,Dragonite,Pokémon,Fossil,4,100,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/base3/4_hires.png,be7ba191929e81c5
neo3-1,Ampharos,Pokémon,Neo Revelation,1,90,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/neo3/1_hires.png,ff6f839099989c84
pl4-1,Charizard,Pokémon,Arceus,1,140,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/pl4/1_hires.png,9b5bd8d444e3c48d
ex9-3,Exploud,Pokémon,Emerald,3,120,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/ex9/3_hires.png,bb4fcd908496d385
pop7-3,Latias,Pokémon,POP Series 7,3,80,Basic,Colorless,Rare,https://images.pokemontcg.io/pop7/3_hires.png,fa62c4c64e3b91a5
ex4-2,Team Aqua's Crawdaunt,Pokémon,Team Magma vs Team Aqua,2,80,Stage 1,"Water,Darkness",Rare Holo,https://images.pokemontcg.io/ex4/2_hires.png,9e7ecc81f2b3e0c0
pop6-4,Pachirisu,Pokémon,POP Series 6,4,70,Basic,Lightning,Rare,https://images.pokemontcg.io/pop6/4_hires.png,f84b87256ce456c3
det1-4,Charmander,Pokémon,Detective Pikachu,4,60,Basic,Fire,Common,https://images.pokemontcg.io/det1/4_hires.png,fa5a96a5a12d6cc4
mcd19-4,Alolan Sandshrew,Pokémon,McDonald's Collection 2019,4,60,Basic,Water,,https://images.pokemontcg.io/mcd19/4_hires.png,ea720f8fb4f0f090
hgss1-4,Gyarados,Pokémon,HeartGold & SoulSilver,4,130,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/hgss1/4_hires.png,fa3887876c7c988c
xy1-2,M Venusaur-EX,Pokémon,XY,2,230,"MEGA,EX",Grass,Rare Holo EX,https://images.pokemontcg.io/xy1/2_hires.png,f33bcc984486353b
dpp-DP02,Chimchar,Pokémon,DP Black Star Promos,DP02,50,Basic,Fire,Promo,https://images.pokemontcg.io/dpp/DP02_hires.png,ce4ec8f128b79591
ex8-2,Beautifly,Pokémon,Deoxys,2,100,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/ex8/2_hires.png,da5ac990cb92cdc5
bw5-2,Ivysaur,Pokémon,Dark Explorers,2,90,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/bw5/2_hires.png,ea60869e0f39b16d
sm2-2,Weepinbell,Pokémon,Guardians Rising,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/sm2/2_hires.png,bb5af4e0e6279190
xy4-2,Venomoth,Pokémon,Phantom Forces,2,90,Stage 1,Grass,Rare,https://images.pokemontcg.io/xy4/2_hires.png,ba5a94b4cd8fc1c1
bw7-2,Gloom,Pokémon,Boundaries Crossed,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/bw7/2_hires.png,ba70c18b8db49d4d
pop4-2,Deoxys δ,Pokémon,POP Series 4,2,70,Basic,Colorless,Rare,https://images.pokemontcg.io/pop4/2_hires.png,93134bcc4e96762d
col1-3,Dialga,Pokémon,Call of Legends,3,100,Basic,Metal,Rare Holo,https://images.pokemontcg.io/col1/3_hires.png,ea7a9395a4e5c5c0
ex12-4,Delcatty,Pokémon,Legend Maker,4,80,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/ex12/4_hires.png,ba4fd190c6a6ccc5
bw11-2,Tangrowth,Pokémon,Legendary Treasures,2,120,Stage 1,Grass,Rare,https://images.pokemontcg.io/bw11/2_hires.png,ba1ac4c5c9d9f0e4
swsh35-3,Kakuna,Pokémon,Champion's Path,3,80,Stage 1,Grass,Common,https://images.pokemontcg.io/swsh35/3_hires.png,fa5aa4a5a567d0c4
pl1-4,Delcatty,Pokémon,Platinum,4,90,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/pl1/4_hires.png,ce4eb0b191db4ba4
ecard2-H4,Azumarill,Pokémon,Aquapolis,H4,70,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/ecard2/H4_hires.png,fa7f80d1cb94c04e
base5-2,Dark Arbok,Pokémon,Team Rocket,2,60,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/base5/2_hires.png,eb5aa1b0c5c79386
xy2-4,Pineco,Pokémon,Flashfire,4,60,Basic,Grass,Common,https://images.pokemontcg.io/xy2/4_hires.png,bb1b86cccce1b138
neo4-2,Dark Crobat,Pokémon,Neo Destiny,2,70,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/neo4/2_hires.png,eb6ac4951b9ad0c6
dv1-4,Dragonair,Pokémon,Dragon Vault,4,70,Stage 1,Dragon,Rare Holo,https://images.pokemontcg.io/dv1/4_hires.png,bf95b84ac4e4c84b
pop5-2,Lugia,Pokémon,POP Series 5,2,80,Basic,Psychic,Rare,https://images.pokemontcg.io/pop5/2_hires.png,c94dcf93c2b91907
base6-2,Articuno,Pokémon,Legendary Collection,2,70,Basic,Water,Rare Holo,https://images.pokemontcg.io/base6/2_hires.png,be1cc0e1899fc9c3
ex11-4,Espeon δ,Pokémon,Delta Species,4,70,Stage 1,"Psychic,Metal",Rare Holo,https://images.pokemontcg.io/ex11/4_hires.png,cb4b9795c4e0e385
ex3-4,Flygon,Pokémon,Dragon,4,120,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/ex3/4_hires.png,bf1fc1d0c3cac2c1
dp1-2,Dusknoir,Pokémon,Diamond & Pearl,2,120,Stage 2,Psychic,Rare Holo,https://images.pokemontcg.io/dp1/2_hires.png,cf4fc0d058be8785
gym2-3,Brock's Ninetales,Pokémon,Gym Challenge,3,70,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/gym2/3_hires.png,9b5bc4e0693e85c5
si1-3,Onix,Pokémon,Southern Islands,3,90,Basic,Fighting,,https://images.pokemontcg.io/si1/3_hires.png,f2d00b9d4e878c2f
pop1-2,Metagross,Pokémon,POP Series 1,2,100,Stage 2,Metal,Rare,https://images.pokemontcg.io/pop1/2_hires.png,cb4fbf95c4c0f090
dp4-2,Cresselia,Pokémon,Great Encounters,2,80,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/dp4/2_hires.png,9a1ec4f1e0e99c95
dp3-4,Entei,Pokémon,Secret Wonders,4,80,Basic,Fire,Rare Holo,https://images.pokemontcg.io/dp3/4_hires.png,9a5be9e12496cec1
base4-4,Charizard,Pokémon,Base Set 2,4,120,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/base4/4_hires.png,ba7ac0e1c09bd9c5
bw8-2,Grotle,Pokémon,Plasma Storm,2,100,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/bw8/2_hires.png,ba309192cdc9c9cf
pl4-2,Froslass,Pokémon,Arceus,2,80,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/pl4/2_hires.png,ce4e94b1c9c9e1b4
xy11-3,Hoppip,Pokémon,Steam Siege,3,40,Basic,Grass,Common,https://images.pokemontcg.io/xy11/3_hires.png,ef43c2381e959969
sm3-2,Metapod,Pokémon,Burning Shadows,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/sm3/2_hires.png,ef6dc490923a3ad1
pop3-2,Flareon,Pokémon,POP Series 3,2,70,Stage 1,Fire,Rare,https://images.pokemontcg.io/pop3/2_hires.png,ca4ecada428393b7
