lookup_key,id,name,supertype,set_name,number,image_url,p_hash
absol_1,ex3-1,Absol,Pokémon,Dragon,1,https://images.pokemontcg.io/ex3/1_hires.png,cb5fe8b1e4c6c209
absol_113,sv4-113,Absol,Pokémon,Paradox Rift,113,https://images.pokemontcg.io/sv4/113_hires.png,ea916565b5b392c2
absol_133,sm12-133,Absol,Pokémon,Cosmic Eclipse,133,https://images.pokemontcg.io/sm12/133_hires.png,ead0616fa5a59c0b
absol_15,ex12-15,Absol,Pokémon,Legend Maker,15,https://images.pokemontcg.io/ex12/15_hires.png,c3c71f957c606847
absol_164,swsh8-164,Absol,Pokémon,Fusion Strike,164,https://images.pokemontcg.io/swsh8/164_hires.png,eac0a66eb783d04e
absol_18,ex13-18,Absol,Pokémon,Holon Phantoms,18,https://images.pokemontcg.io/ex13/18_hires.png,8bc36a903e0fce66
absol_21,dp3-21,Absol,Pokémon,Secret Wonders,21,https://images.pokemontcg.io/dp3/21_hires.png,ab9bf062b466c4cc
absol_30,sv6pt5-30,Absol,Pokémon,Shrouded Fable,30,https://images.pokemontcg.io/sv6pt5/30_hires.png,cad0342d25e3ce3e
absol_38,swsh35-38,Absol,Pokémon,Champion's Path,38,https://images.pokemontcg.io/swsh35/38_hires.png,eac0a527a5e4f8b8
absol_40,xy6-40,Absol,Pokémon,Roaring Skies,40,https://images.pokemontcg.io/xy6/40_hires.png,be958a6af2a78524
absol_67,bw9-67,Absol,Pokémon,Plasma Freeze,67,https://images.pokemontcg.io/bw9/67_hires.png,d0906d6eb4939b0f
absol_76,swsh12pt5-76,Absol,Pokémon,Crown Zenith,76,https://images.pokemontcg.io/swsh12pt5/76_hires.png,af8de462e4a1b1b1
absol_81,sm2-81,Absol,Pokémon,Guardians Rising,81,https://images.pokemontcg.io/sm2/81_hires.png,eac1e46ab82d4c2f
absol_88,sm9-88,Absol,Pokémon,Team Up,88,https://images.pokemontcg.io/sm9/88_hires.png,eac0b12fa52d3c3c
absol_91,hgss4-91,Absol,Pokémon,HS—Triumphant,91,https://images.pokemontcg.io/hgss4/91_hires.png,ae9cb533b119d1c4
absol_96,ex4-96,Absol,Pokémon,Team Magma vs Team Aqua,96,https://images.pokemontcg.io/ex4/96_hires.png,c3dbe8179c3ee060
absol_97,swsh10-97,Absol,Pokémon,Astral Radiance,97,https://images.pokemontcg.io/swsh10/97_hires.png,bf91876b70e0686c
absol_gg16,swsh12pt5gg-GG16,Absol,Pokémon,Crown Zenith Galarian Gallery,GG16,https://images.pokemontcg.io/swsh12pt5gg/GG16_hires.png,ea625e6790b88c97
absol_xy178,xyp-XY178,Absol,Pokémon,XY Black Star Promos,XY178,https://images.pokemontcg.io/xyp/XY178_hires.png,ca929278b52de565
absolex_135,sv3-135,Absol ex,Pokémon,Obsidian Flames,135,https://images.pokemontcg.io/sv3/135_hires.png,a5a4545ec77a432b
absolex_214,sv3-214,Absol ex,Pokémon,Obsidian Flames,214,https://images.pokemontcg.io/sv3/214_hires.png,917e3093ce69313e
absolex_92,ex16-92,Absol ex,Pokémon,Power Keepers,92,https://images.pokemontcg.io/ex16/92_hires.png,80cf7ab133939c9c
absolex_xy62,xyp-XY62,Absol-EX,Pokémon,XY Black Star Promos,XY62,https://images.pokemontcg.io/xyp/XY62_hires.png,accc4f6eb170603e
absolg_1,pl3-1,Absol G,Pokémon,Supreme Victors,1,https://images.pokemontcg.io/pl3/1_hires.png,ee6ed0f1b122c293
absolglvx_141,pl3-141,Absol G LV.X,Pokémon,Supreme Victors,141,https://images.pokemontcg.io/pl3/141_hires.png,cec69030edcf49e1
academyatnight_54,sv6pt5-54,Academy at Night,Trainer,Shrouded Fable,54,https://images.pokemontcg.io/sv6pt5/54_hires.png,9f3e4180c5cc9dd9
accelgor_10,swsh3-10,Accelgor,Pokémon,Darkness Ablaze,10,https://images.pokemontcg.io/swsh3/10_hires.png,eb6bf4d0d4a4b490
accelgor_11,bw5-11,Accelgor,Pokémon,Dark Explorers,11,https://images.pokemontcg.io/bw5/11_hires.png,bb5bc1d0c43eb485
accelgor_12,bw3-12,Accelgor,Pokémon,Noble Victories,12,https://images.pokemontcg.io/bw3/12_hires.png,be3cc34bcb85d0c8
accelgor_13,sv9-13,Accelgor,Pokémon,Journey Together,13,https://images.pokemontcg.io/sv9/13_hires.png,bf3a9581cc4e6ac1
accelgor_14,swsh8-14,Accelgor,Pokémon,Fusion Strike,14,https://images.pokemontcg.io/swsh8/14_hires.png,af6eced0d0a0389b
accelgor_8,bw10-8,Accelgor,Pokémon,Plasma Blast,8,https://images.pokemontcg.io/bw10/8_hires.png,955ac4c143677bcc
accelgor_9,sm4-9,Accelgor,Pokémon,Crimson Invasion,9,https://images.pokemontcg.io/sm4/9_hires.png,ab7ed490d832b385
accelgor_9,xy3-9,Accelgor,Pokémon,Furious Fists,9,https://images.pokemontcg.io/xy3/9_hires.png,ba308787c5e1d85e
accelgor_9,rsv10pt5-9,Accelgor,Pokémon,White Flare,9,https://images.pokemontcg.io/rsv10pt5/9_hires.png,aa7e9591d07247c5
accelgor_94,rsv10pt5-94,Accelgor,Pokémon,White Flare,94,https://images.pokemontcg.io/rsv10pt5/94_hires.png,cbcbb078a622b333
accompanyingflute_142,sv6-142,Accompanying Flute,Trainer,Twilight Masquerade,142,https://images.pokemontcg.io/sv6/142_hires.png,c16917961e5c6bc3
acerola_112,sm3-112,Acerola,Trainer,Burning Shadows,112,https://images.pokemontcg.io/sm3/112_hires.png,fb3f91854a6acc84
acerola_112a,sm3-112a,Acerola,Trainer,Burning Shadows,112a,https://images.pokemontcg.io/sm3/112a_hires.png,f327d8852d70ccd8
acerola_142,sm3-142,Acerola,Trainer,Burning Shadows,142,https://images.pokemontcg.io/sm3/142_hires.png,ffa089f191d494cc
acerolasmischief_113,me1-113,Acerola's Mischief,Trainer,Mega Evolution,113,https://images.pokemontcg.io/me1/113_hires.png,de7ec185237ad8c0
acerolasmischief_165,me1-165,Acerola's Mischief,Trainer,Mega Evolution,165,https://images.pokemontcg.io/me1/165_hires.png,bed691e18549c9b8
acerolasmischief_183,me1-183,Acerola's Mischief,Trainer,Mega Evolution,183,https://images.pokemontcg.io/me1/183_hires.png,8a7e91c19c929eec
acerolaspremonition_129,swsh9-129,Acerola's Premonition,Trainer,Brilliant Stars,129,https://images.pokemontcg.io/swsh9/129_hires.png,af2fc1d0925ec8c5
acerolaspremonition_tg24,swsh9tg-TG24,Acerola's Premonition,Trainer,Brilliant Stars Trainer Gallery,TG24,https://images.pokemontcg.io/swsh9tg/TG24_hires.png,fb1784ec84d986b4
acetrainer_69,xy7-69,Ace Trainer,Trainer,Ancient Origins,69,https://images.pokemontcg.io/xy7/69_hires.png,bf6fccc4c0e2d091
acrobike_122,xy5-122,Acro Bike,Trainer,Primal Clash,122,https://images.pokemontcg.io/xy5/122_hires.png,da6a9c94e075a58d
acrobike_123,sm7-123,Acro Bike,Trainer,Celestial Storm,123,https://images.pokemontcg.io/sm7/123_hires.png,f26a8785d8dcb4e0
acrobike_123a,sm7-123a,Acro Bike,Trainer,Celestial Storm,123a,https://images.pokemontcg.io/sm7/123a_hires.png,ea4e9195387c87c3
acrobike_178,sm7-178,Acro Bike,Trainer,Celestial Storm,178,https://images.pokemontcg.io/sm7/178_hires.png,90f20bedb49bd08b
adaman_135,swsh10-135,Adaman,Trainer,Astral Radiance,135,https://images.pokemontcg.io/swsh10/135_hires.png,e26ac89c973339cc
adaman_181,swsh10-181,Adaman,Trainer,Astral Radiance,181,https://images.pokemontcg.io/swsh10/181_hires.png,aec1d726948d9a1d
adaman_199,swsh10-199,Adaman,Trainer,Astral Radiance,199,https://images.pokemontcg.io/swsh10/199_hires.png,ecc11f2e8c4ed41d
adaman_gg57,swsh12pt5gg-GG57,Adaman,Trainer,Crown Zenith Galarian Gallery,GG57,https://images.pokemontcg.io/swsh12pt5gg/GG57_hires.png,aef194a88f07c2cd
adventurebag_167,sm8-167,Adventure Bag,Trainer,Lost Thunder,167,https://images.pokemontcg.io/sm8/167_hires.png,f23e939149cc0fd1
adventurebag_228,sm8-228,Adventure Bag,Trainer,Lost Thunder,228,https://images.pokemontcg.io/sm8/228_hires.png,da233ae1b184d7ca
adventurersdiscovery_224,swsh8-224,Adventurer's Discovery,Trainer,Fusion Strike,224,https://images.pokemontcg.io/swsh8/224_hires.png,ea6a1d9d4948d5d1
adventurersdiscovery_tg23,swsh11tg-TG23,Adventurer's Discovery,Trainer,Lost Origin Trainer Gallery,TG23,https://images.pokemontcg.io/swsh11tg/TG23_hires.png,eb67941c18ca8dcd
aegislash_100,xy5-100,Aegislash,Pokémon,Primal Clash,100,https://images.pokemontcg.io/xy5/100_hires.png,bf3b88c86868f1e1
aegislash_107,swsh5-107,Aegislash,Pokémon,Battle Styles,107,https://images.pokemontcg.io/swsh5/107_hires.png,cf1ec194e0e539a5
aegislash_108,swsh5-108,Aegislash,Pokémon,Battle Styles,108,https://images.pokemontcg.io/swsh5/108_hires.png,af1de5d0c04a7963
aegislash_109,sm9-109,Aegislash,Pokémon,Team Up,109,https://images.pokemontcg.io/sm9/109_hires.png,ea7ae194a485b9d1
aegislash_134,sv4-134,Aegislash,Pokémon,Paradox Rift,134,https://images.pokemontcg.io/sv4/134_hires.png,8e5e41e1ecac85b5
aegislash_135,swsh2-135,Aegislash,Pokémon,Rebel Clash,135,https://images.pokemontcg.io/swsh2/135_hires.png,eb3bc194982e79c1
aegislash_210,sv4-210,Aegislash,Pokémon,Paradox Rift,210,https://images.pokemontcg.io/sv4/210_hires.png,de95934a8979f046
aegislash_49,sm6-49,Aegislash,Pokémon,Forbidden Light,49,https://images.pokemontcg.io/sm6/49_hires.png,bb39e5e0e0129e9c
aegislash_60,svp-60,Aegislash,Pokémon,Scarlet & Violet Black Star Promos,60,https://images.pokemontcg.io/svp/60_hires.png,af3ed090c1634bcd
aegislash_62,xy9-62,Aegislash,Pokémon,BREAKpoint,62,https://images.pokemontcg.io/xy9/62_hires.png,fac89233cdc9c968
aegislash_85,xy1-85,Aegislash,Pokémon,XY,85,https://images.pokemontcg.io/xy1/85_hires.png,ef6ac0909dbcc1c3
aegislash_86,xy1-86,Aegislash,Pokémon,XY,86,https://images.pokemontcg.io/xy1/86_hires.png,bb7a9096c569c1c5
aegislash_95,sm11-95,Aegislash,Pokémon,Unified Minds,95,https://images.pokemontcg.io/sm11/95_hires.png,ae1ef0e0c127a5b5
aegislashex_135,sv4-135,Aegislash ex,Pokémon,Paradox Rift,135,https://images.pokemontcg.io/sv4/135_hires.png,955ce0ea63939395
aegislashex_230,sv4-230,Aegislash ex,Pokémon,Paradox Rift,230,https://images.pokemontcg.io/sv4/230_hires.png,9d1ba4cc39c14afc
aegislashex_65,xy4-65,Aegislash-EX,Pokémon,Phantom Forces,65,https://images.pokemontcg.io/xy4/65_hires.png,c57f4a90b1a5634d
aegislashex_65a,xy4-65a,Aegislash-EX,Pokémon,Phantom Forces,65a,https://images.pokemontcg.io/xy4/65a_hires.png,c51c37631eca5999
aegislashv_126,swsh4-126,Aegislash V,Pokémon,Vivid Voltage,126,https://images.pokemontcg.io/swsh4/126_hires.png,d13860654f8f4fd4
aegislashv_177,swsh4-177,Aegislash V,Pokémon,Vivid Voltage,177,https://images.pokemontcg.io/swsh4/177_hires.png,99a849993239477f
aegislashvmax_127,swsh4-127,Aegislash VMAX,Pokémon,Vivid Voltage,127,https://images.pokemontcg.io/swsh4/127_hires.png,8c6f61d80ce5bd91
aegislashvmax_190,swsh4-190,Aegislash VMAX,Pokémon,Vivid Voltage,190,https://images.pokemontcg.io/swsh4/190_hires.png,f4cb11b003c7af1d
aerodactyl_1,ex12-1,Aerodactyl,Pokémon,Legend Maker,1,https://images.pokemontcg.io/ex12/1_hires.png,be4ed1d1c1e0d694
aerodactyl_1,base3-1,Aerodactyl,Pokémon,Fossil,1,https://images.pokemontcg.io/base3/1_hires.png,af7f91914ac29896
aerodactyl_1,ecard3-1,Aerodactyl,Pokémon,Skyridge,1,https://images.pokemontcg.io/ecard3/1_hires.png,ff7e8080c763898d
aerodactyl_13,pl4-13,Aerodactyl,Pokémon,Arceus,13,https://images.pokemontcg.io/pl4/13_hires.png,bf1ff0e04ecac2c0
aerodactyl_130,sm9-130,Aerodactyl,Pokémon,Team Up,130,https://images.pokemontcg.io/sm9/130_hires.png,eb3a9d95c0c2d2f0
aerodactyl_142,sv3pt5-142,Aerodactyl,Pokémon,151,142,https://images.pokemontcg.io/sv3pt5/142_hires.png,ef6bd090903787c3
aerodactyl_15,neo3-15,Aerodactyl,Pokémon,Neo Revelation,15,https://images.pokemontcg.io/neo3/15_hires.png,ee7e81814be29297
aerodactyl_15,dp5-15,Aerodactyl,Pokémon,Majestic Dawn,15,https://images.pokemontcg.io/dp5/15_hires.png,bc6d5b9bcce04262
aerodactyl_16,base3-16,Aerodactyl,Pokémon,Fossil,16,https://images.pokemontcg.io/base3/16_hires.png,ef4582921ab3b1e5
aerodactyl_35,ex13-35,Aerodactyl δ,Pokémon,Holon Phantoms,35,https://images.pokemontcg.io/ex13/35_hires.png,ae6cc4c24afb5a1a
aerodactyl_53,bw5-53,Aerodactyl,Pokémon,Dark Explorers,53,https://images.pokemontcg.io/bw5/53_hires.png,ea560f3bccd0910f
aerodactyl_76,xy10-76,Aerodactyl,Pokémon,Fates Collide,76,https://images.pokemontcg.io/xy10/76_hires.png,fa7b84949f3292c4
aerodactylex_94,ex2-94,Aerodactyl ex,Pokémon,Sandstorm,94,https://images.pokemontcg.io/ex2/94_hires.png,ba6fe1c087935ac1
aerodactylex_xy97,xyp-XY97,Aerodactyl-EX,Pokémon,XY Black Star Promos,XY97,https://images.pokemontcg.io/xyp/XY97_hires.png,a93bd3d12cf49145
aerodactylgl_55,pl2-55,Aerodactyl GL,Pokémon,Rising Rivals,55,https://images.pokemontcg.io/pl2/55_hires.png,bf3d84d05a6b43c4
aerodactylgx_106,sm11-106,Aerodactyl-GX,Pokémon,Unified Minds,106,https://images.pokemontcg.io/sm11/106_hires.png,c8bc96c77170689e
aerodactylgx_224,sm11-224,Aerodactyl-GX,Pokémon,Unified Minds,224,https://images.pokemontcg.io/sm11/224_hires.png,ef2ed8c8b0297394
aerodactylgx_244,sm11-244,Aerodactyl-GX,Pokémon,Unified Minds,244,https://images.pokemontcg.io/sm11/244_hires.png,eb84502f920b7ebc
aerodactylspiritlink_xy99,xyp-XY99,Aerodactyl Spirit Link,Trainer,XY Black Star Promos,XY99,https://images.pokemontcg.io/xyp/XY99_hires.png,cf6fd0909d4dc1e0
aerodactylv_179,swsh11-179,Aerodactyl V,Pokémon,Lost Origin,179,https://images.pokemontcg.io/swsh11/179_hires.png,c5a95a916270797e
aerodactylv_180,swsh11-180,Aerodactyl V,Pokémon,Lost Origin,180,https://images.pokemontcg.io/swsh11/180_hires.png,c8b046985b27f27b
aerodactylv_92,swsh11-92,Aerodactyl V,Pokémon,Lost Origin,92,https://images.pokemontcg.io/swsh11/92_hires.png,c5834b9d74707a2b
aerodactylvstar_199,swsh11-199,Aerodactyl VSTAR,Pokémon,Lost Origin,199,https://images.pokemontcg.io/swsh11/199_hires.png,cfd494d3604e1c5d
aerodactylvstar_93,swsh11-93,Aerodactyl VSTAR,Pokémon,Lost Origin,93,https://images.pokemontcg.io/swsh11/93_hires.png,ff758acab048c8e8
aetherfoundationemployee_168,sm8-168,Aether Foundation Employee,Trainer,Lost Thunder,168,https://images.pokemontcg.io/sm8/168_hires.png,bb3fe1c14a969491
aetherfoundationemployee_sv81,sma-SV81,Aether Foundation Employee,Trainer,Hidden Fates Shiny Vault,SV81,https://images.pokemontcg.io/sma/SV81_hires.png,af66a199dce87062
aetherparadiseconservationarea_116,sm2-116,Aether Paradise Conservation Area,Trainer,Guardians Rising,116,https://images.pokemontcg.io/sm2/116_hires.png,9b3ff0e42c8ec6c0
aetherparadiseconservationarea_sv87,sma-SV87,Aether Paradise Conservation Area,Trainer,Hidden Fates Shiny Vault,SV87,https://images.pokemontcg.io/sma/SV87_hires.png,96e931d2d0b4d52e
agatha_129,swsh6-129,Agatha,Trainer,Chilling Reign,129,https://images.pokemontcg.io/swsh6/129_hires.png,be3ec3c1c1e4e4d0
agatha_186,swsh6-186,Agatha,Trainer,Chilling Reign,186,https://images.pokemontcg.io/swsh6/186_hires.png,8bd1952ee1e8e42d
agatha_210,swsh6-210,Agatha,Trainer,Chilling Reign,210,https://images.pokemontcg.io/swsh6/210_hires.png,e8c11f269e4dcc78
aggron_1,hgss4-1,Aggron,Pokémon,HS—Triumphant,1,https://images.pokemontcg.io/hgss4/1_hires.png,9e6ec9996466b0b1
aggron_1,dp2-1,Aggron,Pokémon,Mysterious Treasures,1,https://images.pokemontcg.io/dp2/1_hires.png,df5e90b06b4fc281
aggron_1,ex1-1,Aggron,Pokémon,Ruby & Sapphire,1,https://images.pokemontcg.io/ex1/1_hires.png,cf4ec290b83d31e5
aggron_1,ex16-1,Aggron,Pokémon,Power Keepers,1,https://images.pokemontcg.io/ex16/1_hires.png,9e4ec981e5c76323
aggron_111,swsh6-111,Aggron,Pokémon,Chilling Reign,111,https://images.pokemontcg.io/swsh6/111_hires.png,ea2e8794d0ec6993
aggron_122,sv6-122,Aggron,Pokémon,Twilight Masquerade,122,https://images.pokemontcg.io/sv6/122_hires.png,ef6e4d91d0b238c1
aggron_123,swsh3-123,Aggron,Pokémon,Darkness Ablaze,123,https://images.pokemontcg.io/swsh3/123_hires.png,e26acb98c8c4bd27
aggron_125,sm10-125,Aggron,Pokémon,Unbroken Bonds,125,https://images.pokemontcg.io/sm10/125_hires.png,af3ec8c0e0a5b5b1
aggron_14,pl2-14,Aggron,Pokémon,Rising Rivals,14,https://images.pokemontcg.io/pl2/14_hires.png,db4b9a94a4e5c3c2
aggron_2,ex12-2,Aggron,Pokémon,Legend Maker,2,https://images.pokemontcg.io/ex12/2_hires.png,eb6acc859e1a9199
aggron_59,bw10-59,Aggron,Pokémon,Plasma Blast,59,https://images.pokemontcg.io/bw10/59_hires.png,b67489db4b27b488
aggron_67,sm4-67,Aggron,Pokémon,Crimson Invasion,67,https://images.pokemontcg.io/sm4/67_hires.png,a73e8d94c0e869e3
aggron_80,bw6-80,Aggron,Pokémon,Dragons Exalted,80,https://images.pokemontcg.io/bw6/80_hires.png,bf3784d05849c3a7
aggron_89,swsh12pt5-89,Aggron,Pokémon,Crown Zenith,89,https://images.pokemontcg.io/swsh12pt5/89_hires.png,ee6ecd91b12625c2
aggronex_153,xy5-153,Aggron-EX,Pokémon,Primal Clash,153,https://images.pokemontcg.io/xy5/153_hires.png,d51899677d65f810
aggronex_89,ex14-89,Aggron ex,Pokémon,Crystal Guardians,89,https://images.pokemontcg.io/ex14/89_hires.png,ef4fcf81b8303883
aggronex_93,xy5-93,Aggron-EX,Pokémon,Primal Clash,93,https://images.pokemontcg.io/xy5/93_hires.png,d16a7e82594de664
aggronex_95,ex2-95,Aggron ex,Pokémon,Sandstorm,95,https://images.pokemontcg.io/ex2/95_hires.png,9f7ad280ccc96bc8
aggronspiritlink_123,xy5-123,Aggron Spirit Link,Trainer,Primal Clash,123,https://images.pokemontcg.io/xy5/123_hires.png,ca6b90946cecc1db
aggronv_96,swsh9-96,Aggron V,Pokémon,Brilliant Stars,96,https://images.pokemontcg.io/swsh9/96_hires.png,c51f58d96b657091
aggronvmax_97,swsh9-97,Aggron VMAX,Pokémon,Brilliant Stars,97,https://images.pokemontcg.io/swsh9/97_hires.png,bccd83fa2d61a107
aipom_137,sv6-137,Aipom,Pokémon,Twilight Masquerade,137,https://images.pokemontcg.io/sv6/137_hires.png,b73e1d91c262c3c9
aipom_144,swsh11-144,Aipom,Pokémon,Lost Origin,144,https://images.pokemontcg.io/swsh11/144_hires.png,9f5ec4f4e4191991
aipom_145,sv4-145,Aipom,Pokémon,Paradox Rift,145,https://images.pokemontcg.io/sv4/145_hires.png,da7e8585d8584b87
aipom_169,sm12-169,Aipom,Pokémon,Cosmic Eclipse,169,https://images.pokemontcg.io/sm12/169_hires.png,ae3ef09191e1c5c5
aipom_211,sv4-211,Aipom,Pokémon,Paradox Rift,211,https://images.pokemontcg.io/sv4/211_hires.png,ee87906c896ad587
aipom_26,neo1-26,Aipom,Pokémon,Neo Genesis,26,https://images.pokemontcg.io/neo1/26_hires.png,f7438f980ca4e94b
aipom_34,ex10-34,Aipom,Pokémon,Unseen Forces,34,https://images.pokemontcg.io/ex10/34_hires.png,ea62c795999951c6
aipom_41,neo3-41,Aipom,Pokémon,Neo Revelation,41,https://images.pokemontcg.io/neo3/41_hires.png,eb6a929425a79b92
aipom_43,hgss2-43,Aipom,Pokémon,HS—Unleashed,43,https://images.pokemontcg.io/hgss2/43_hires.png,fa7a84950fe1d1c1
aipom_50,dp5-50,Aipom,Pokémon,Majestic Dawn,50,https://images.pokemontcg.io/dp5/50_hires.png,ea6bc4850f379394
aipom_51,dp5-51,Aipom,Pokémon,Majestic Dawn,51,https://images.pokemontcg.io/dp5/51_hires.png,ea4e1f958ce642e1
aipom_55,hgss4-55,Aipom,Pokémon,HS—Triumphant,55,https://images.pokemontcg.io/hgss4/55_hires.png,fa7ac5850f07ca68
aipom_56,pgo-56,Aipom,Pokémon,Pokémon GO,56,https://images.pokemontcg.io/pgo/56_hires.png,be3ec4914a1e35e1
aipom_67,ecard2-67,Aipom,Pokémon,Aquapolis,67,https://images.pokemontcg.io/ecard2/67_hires.png,f3428c8c1fb7b035
aipom_70,dp2-70,Aipom,Pokémon,Mysterious Treasures,70,https://images.pokemontcg.io/dp2/70_hires.png,bf17c2c24cecd1c1
aipom_90,xy11-90,Aipom,Pokémon,Steam Siege,90,https://images.pokemontcg.io/xy11/90_hires.png,bb1bc2d065b5b4a4
aipom_99,bw6-99,Aipom,Pokémon,Dragons Exalted,99,https://images.pokemontcg.io/bw6/99_hires.png,fa3a9190cc4ec6c7
aipom_sm244,smp-SM244,Aipom,Pokémon,SM Black Star Promos,SM244,https://images.pokemontcg.io/smp/SM244_hires.png,af3ea4b1d0f0f0e0
airballoon_156,swsh1-156,Air Balloon,Trainer,Sword & Shield,156,https://images.pokemontcg.io/swsh1/156_hires.png,bb3bc4c4ce4331b1
airballoon_166,me1-166,Air Balloon,Trainer,Mega Evolution,166,https://images.pokemontcg.io/me1/166_hires.png,c2dcc1992de539c5
airballoon_213,swsh1-213,Air Balloon,Trainer,Sword & Shield,213,https://images.pokemontcg.io/swsh1/213_hires.png,b475cf883c6ac166
airballoon_79,zsv10pt5-79,Air Balloon,Trainer,Black Bolt,79,https://images.pokemontcg.io/zsv10pt5/79_hires.png,c46c53921bad6de1
alakazam_1,base4-1,Alakazam,Pokémon,Base Set 2,1,https://images.pokemontcg.io/base4/1_hires.png,fa5ac0a1a3939d8d
alakazam_1,base1-1,Alakazam,Pokémon,Base,1,https://images.pokemontcg.io/base1/1_hires.png,aa6ec0f1c393998d
alakazam_1,base6-1,Alakazam,Pokémon,Legendary Collection,1,https://images.pokemontcg.io/base6/1_hires.png,ea5ac0b1a3939d8d
alakazam_1,ecard1-1,Alakazam,Pokémon,Expedition Base Set,1,https://images.pokemontcg.io/ecard1/1_hires.png,fa5ea020e3b1a16f
alakazam_2,dp2-2,Alakazam,Pokémon,Mysterious Treasures,2,https://images.pokemontcg.io/dp2/2_hires.png,9f1f95b5606a4685
alakazam_2,ecard3-2,Alakazam,Pokémon,Skyridge,2,https://images.pokemontcg.io/ecard3/2_hires.png,fa5f81e0e432b03d
alakazam_33,ecard1-33,Alakazam,Pokémon,Expedition Base Set,33,https://images.pokemontcg.io/ecard1/33_hires.png,fe5ca062c7a3826e
alakazam_56,me1-56,Alakazam,Pokémon,Mega Evolution,56,https://images.pokemontcg.io/me1/56_hires.png,ea7a5494c5638795
alakazam_82,sv6-82,Alakazam,Pokémon,Twilight Masquerade,82,https://images.pokemontcg.io/sv6/82_hires.png,ab6a54c4dc1b93b1
